,Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Tags,Lead Quality,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,A free copy of Mastering The Interview,Last Notable Activity
1635,Lead Import,Facebook,No,0,0.0,0,0.0,Email Opened,Other,Finance Management,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Other Cities of Maharashtra,02.Medium,02.Medium,14.0,14.0,No,Modified
1636,Lead Import,Facebook,No,0,0.0,0,0.0,SMS Sent,Other,E-COMMERCE,Select,Unemployed,Better Career Prospects,Graduation in progress,Other,Select,Mumbai,03.Low,03.Low,11.0,12.0,No,Modified
1637,Lead Import,Facebook,No,1,0.0,0,0.0,Email Opened,Other,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Mumbai,02.Medium,02.Medium,14.0,16.0,No,Email Opened
1638,Lead Import,Facebook,No,1,0.0,0,0.0,Email Opened,Other,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Other Cities of Maharashtra,02.Medium,02.Medium,15.0,15.0,No,Email Opened
1639,Lead Import,Facebook,No,0,0.0,0,0.0,Email Opened,Other,E-COMMERCE,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Mumbai,02.Medium,03.Low,13.0,12.0,No,Modified
1640,Lead Import,Facebook,No,0,8.0,76,8.0,Email Opened,Other,Operations Management,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Thane & Outskirts,02.Medium,02.Medium,13.0,14.0,No,Email Opened
1641,Lead Import,Facebook,No,0,0.0,0,0.0,Email Opened,Other,Media and Advertising,Select,Unemployed,Better Career Prospects,Other,Other,Select,Other Cities of Maharashtra,02.Medium,02.Medium,13.0,13.0,No,Email Opened
1642,Lead Import,Facebook,No,1,0.0,0,0.0,Email Opened,Other,Business Administration,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Mumbai,02.Medium,02.Medium,15.0,16.0,No,Email Opened
1643,Lead Import,Facebook,No,1,0.0,0,0.0,Email Opened,Other,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Mumbai,02.Medium,02.Medium,14.0,16.0,No,Email Opened
1644,Lead Import,Facebook,No,1,0.0,0,0.0,SMS Sent,Other,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,02.Medium,02.Medium,15.0,15.0,No,Modified
1645,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Email Opened
1646,API,Google,No,1,2.0,925,2.0,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
1647,Landing Page Submission,WeLearn,No,1,2.0,1184,2.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14.0,16.0,No,Email Opened
1648,API,Olark Chat,No,1,4.0,263,1.33,Email Opened,India,Operations Management,Online Search,Unemployed,Better Career Prospects,Other,Other,Select,Other Cities of Maharashtra,02.Medium,02.Medium,14.0,15.0,No,Email Opened
1649,Landing Page Submission,Google,No,1,3.0,949,3.0,Email Opened,India,Marketing Management,Email,Unemployed,Better Career Prospects,Other,Other,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Email Opened
1650,API,Google,No,0,5.0,220,5.0,Olark Chat Conversation,India,Other,Other,Other,Other,Interested in other courses,Other,Other,Other,02.Medium,02.Medium,15.0,15.0,No,Modified
1651,Landing Page Submission,Direct Traffic,No,1,3.0,812,3.0,SMS Sent,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,02.Medium,01.High,14.0,18.0,Yes,SMS Sent
1652,API,Google,No,1,3.0,1213,1.5,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Email Opened
1653,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
1654,Landing Page Submission,Google,No,0,4.0,239,4.0,SMS Sent,India,Supply Chain Management,Email,Unemployed,Better Career Prospects,switched off,Not Sure,Select,Other Cities of Maharashtra,02.Medium,01.High,14.0,17.0,No,Modified
1655,Landing Page Submission,Google,No,1,3.0,1622,3.0,Email Opened,India,IT Projects Management,Multiple Sources,Unemployed,Better Career Prospects,Other,Other,Select,Mumbai,02.Medium,02.Medium,15.0,15.0,No,Email Opened
1656,Landing Page Submission,Direct Traffic,No,0,4.0,177,4.0,Email Opened,India,IT Projects Management,Other,Other,Other,Other,Other,Other,Other Cities,02.Medium,02.Medium,14.0,13.0,Yes,Email Opened
1657,API,Olark Chat,No,0,1.0,216,1.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
1658,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Worst,Other Leads,Select,02.Medium,02.Medium,15.0,14.0,No,Modified
1659,Landing Page Submission,Direct Traffic,No,0,7.0,268,7.0,Email Opened,United Arab Emirates,Healthcare Management,Select,Unemployed,Better Career Prospects,switched off,Not Sure,Other Leads,Mumbai,02.Medium,02.Medium,14.0,15.0,Yes,Email Opened
1660,Landing Page Submission,Google,No,0,5.0,282,1.67,SMS Sent,India,Operations Management,Other,Unemployed,Better Career Prospects,Other,Other,Select,Other Cities of Maharashtra,03.Low,01.High,11.0,17.0,No,Modified
1661,Landing Page Submission,Direct Traffic,Yes,0,2.0,367,2.0,Unreachable,United States,Select,Select,Unemployed,Better Career Prospects,number not provided,Not Sure,Select,Select,03.Low,01.High,12.0,17.0,No,Modified
1662,API,Google,No,0,14.0,174,2.8,Page Visited on Website,India,Marketing Management,Select,Unemployed,Better Career Prospects,Ringing,Might be,Potential Lead,Select,02.Medium,02.Medium,14.0,16.0,No,Page Visited on Website
1663,Lead Add Form,Welingak Website,No,1,0.0,0,0.0,SMS Sent,Other,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
1664,Landing Page Submission,Direct Traffic,No,0,2.0,316,2.0,Email Opened,India,Retail Management,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,Modified
1665,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
1666,API,Olark Chat,No,1,0.0,0,0.0,SMS Sent,Other,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,01.High,02.Medium,16.0,15.0,No,SMS Sent
1667,API,Google,No,1,4.0,1167,1.33,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Thane & Outskirts,02.Medium,01.High,15.0,17.0,No,Email Opened
1668,API,Google,No,0,7.0,1320,1.75,Email Opened,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,Ringing,Other,Select,Mumbai,02.Medium,02.Medium,14.0,16.0,No,Email Opened
1669,Landing Page Submission,Google,Yes,0,3.0,1083,3.0,Email Bounced,Other,Supply Chain Management,Other,Other,Other,Other,Other,Other,Thane & Outskirts,02.Medium,01.High,13.0,17.0,Yes,Email Bounced
1670,Landing Page Submission,Direct Traffic,Yes,0,10.0,432,1.67,Unsubscribed,India,Business Administration,Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,13.0,18.0,Yes,Unsubscribed
1671,API,Google,No,0,2.0,157,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Not doing further education,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Opened
1672,API,Google,No,0,2.0,407,1.0,Page Visited on Website,India,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,15.0,15.0,No,Modified
1673,Landing Page Submission,Google,Yes,0,6.0,950,6.0,Email Bounced,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,Will revert after reading the email,Worst,Select,Mumbai,02.Medium,01.High,14.0,18.0,Yes,Modified
1674,Landing Page Submission,Direct Traffic,No,0,3.0,100,3.0,SMS Sent,India,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,01.High,14.0,17.0,No,Modified
1675,Landing Page Submission,Google,No,1,8.0,2137,8.0,SMS Sent,India,Finance Management,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,SMS Sent
1676,Landing Page Submission,Google,No,1,10.0,1131,5.0,Email Opened,India,Human Resource Management,Other,Unemployed,Better Career Prospects,Closed by Horizzon,Low in Relevance,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,Modified
1677,Landing Page Submission,Direct Traffic,No,0,6.0,5,6.0,Page Visited on Website,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Mumbai,02.Medium,02.Medium,14.0,16.0,Yes,Page Visited on Website
1678,API,Google,No,1,4.0,932,2.0,Email Opened,India,IT Projects Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Select,02.Medium,03.Low,14.0,12.0,No,Email Opened
1679,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
1680,API,Google,Yes,0,2.0,531,1.0,Unsubscribed,India,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,14.0,15.0,No,Unsubscribed
1681,API,Olark Chat,No,0,0.0,0,0.0,Email Link Clicked,Other,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,15.0,15.0,No,Modified
1682,Lead Add Form,Reference,No,1,0.0,0,0.0,Had a Phone Conversation,Other,Operations Management,Select,Unemployed,Better Career Prospects,Closed by Horizzon,High in Relevance,Lateral Student,Mumbai,02.Medium,01.High,14.0,20.0,No,Modified
1683,Lead Add Form,Reference,No,1,0.0,0,0.0,Email Opened,Other,IT Projects Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Mumbai,02.Medium,01.High,15.0,17.0,No,Email Opened
1684,Landing Page Submission,Google,No,0,5.0,240,5.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,Modified
1685,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Opened
1686,Landing Page Submission,Direct Traffic,No,0,3.0,1041,3.0,SMS Sent,India,Human Resource Management,Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,14.0,18.0,Yes,Modified
1687,Landing Page Submission,Organic Search,No,0,3.0,155,3.0,Page Visited on Website,India,Media and Advertising,Select,Unemployed,Better Career Prospects,Not doing further education,Worst,Select,Other Metro Cities,02.Medium,02.Medium,14.0,15.0,Yes,Modified
1688,API,Google,No,0,2.0,11,2.0,Olark Chat Conversation,Singapore,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Modified
1689,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
1690,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
1691,Landing Page Submission,Direct Traffic,No,0,2.0,59,2.0,SMS Sent,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Thane & Outskirts,02.Medium,01.High,13.0,17.0,No,Modified
1692,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,16.0,15.0,No,Modified
1693,Landing Page Submission,Direct Traffic,No,1,3.0,1250,3.0,SMS Sent,India,IT Projects Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Other,Select,Mumbai,02.Medium,02.Medium,14.0,15.0,Yes,SMS Sent
1694,API,Olark Chat,No,0,0.0,0,0.0,SMS Sent,Other,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,14.0,15.0,No,Modified
1695,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Opened
1696,Landing Page Submission,Direct Traffic,Yes,1,3.0,803,3.0,Email Link Clicked,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Busy,Not Sure,Select,Mumbai,02.Medium,01.High,15.0,18.0,Yes,Email Link Clicked
1697,API,Google,No,0,14.0,148,14.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Opened
1698,Landing Page Submission,Google,No,1,5.0,1024,5.0,Email Opened,India,Finance Management,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Mumbai,02.Medium,01.High,13.0,20.0,No,Email Opened
1699,API,Google,No,0,4.0,46,2.0,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,invalid number,Not Sure,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Modified
1700,Landing Page Submission,Google,No,1,4.0,1590,4.0,Email Opened,India,Marketing Management,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,02.Medium,01.High,15.0,18.0,No,Email Opened
1701,Landing Page Submission,Google,No,0,6.0,361,6.0,Email Opened,Other,Finance Management,Online Search,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,Email Opened
1702,Landing Page Submission,Google,No,0,4.0,85,4.0,Email Opened,India,Business Administration,Online Search,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,14.0,18.0,No,Email Opened
1703,API,Google,No,0,3.0,37,3.0,Email Opened,India,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,13.0,15.0,No,Email Opened
1704,API,Google,No,1,4.0,262,4.0,SMS Sent,France,Business Administration,Student of SomeSchool,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Other Leads,Other Metro Cities,02.Medium,02.Medium,15.0,14.0,No,Modified
1705,Landing Page Submission,Google,No,0,3.0,559,3.0,Email Opened,India,Business Administration,Online Search,Other,Other,Other,Other,Other,Other Cities,02.Medium,02.Medium,14.0,16.0,No,Email Opened
1706,Landing Page Submission,Organic Search,No,0,5.0,314,5.0,Email Opened,India,Media and Advertising,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Potential Lead,Mumbai,02.Medium,01.High,13.0,19.0,Yes,Email Opened
1707,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
1708,Landing Page Submission,Organic Search,No,0,3.0,276,3.0,SMS Sent,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Other Cities,02.Medium,02.Medium,14.0,14.0,Yes,Modified
1709,Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Other,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Select,02.Medium,01.High,14.0,17.0,No,SMS Sent
1710,API,Google,No,1,2.0,1734,2.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Mumbai,02.Medium,01.High,14.0,18.0,No,Modified
1711,Landing Page Submission,Google,No,0,6.0,152,6.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,Lost to Others,Other,Select,Mumbai,03.Low,01.High,11.0,18.0,No,Email Opened
1712,Landing Page Submission,Direct Traffic,No,0,7.0,265,1.75,Page Visited on Website,India,IT Projects Management,Other,Other,Other,Other,Other,Other,Thane & Outskirts,02.Medium,02.Medium,14.0,14.0,Yes,Page Visited on Website
1713,Landing Page Submission,Google,Yes,0,7.0,1115,7.0,SMS Sent,India,Business Administration,Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,14.0,18.0,Yes,Modified
1714,API,Google,Yes,1,4.0,1295,4.0,SMS Sent,India,E-COMMERCE,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Other Cities,02.Medium,02.Medium,15.0,13.0,No,SMS Sent
1715,Landing Page Submission,Google,No,0,4.0,108,4.0,SMS Sent,India,Healthcare Management,Word Of Mouth,Other,Other,Other,Other,Other,Mumbai,02.Medium,02.Medium,14.0,15.0,No,Modified
1716,API,Google,No,1,2.0,1290,2.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Modified
1717,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,14.0,15.0,No,Email Opened
1718,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Diploma holder (Not Eligible),Other,Other Leads,Select,03.Low,02.Medium,11.0,14.0,No,Email Opened
1719,Landing Page Submission,Organic Search,No,0,4.0,436,4.0,Email Opened,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,Graduation in progress,Other,Select,Other Cities,03.Low,02.Medium,10.0,14.0,Yes,Email Opened
1720,API,Google,No,1,3.0,736,3.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Other Cities,02.Medium,02.Medium,15.0,16.0,No,Email Opened
1721,Landing Page Submission,Direct Traffic,No,1,5.0,1459,5.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Thane & Outskirts,02.Medium,01.High,15.0,19.0,Yes,Email Opened
1722,Landing Page Submission,Direct Traffic,No,1,2.0,811,2.0,Email Opened,India,Marketing Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Select,Other Cities of Maharashtra,02.Medium,01.High,14.0,17.0,Yes,Email Opened
1723,Landing Page Submission,Organic Search,No,1,7.0,1460,7.0,Email Opened,India,Rural and Agribusiness,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Other Metro Cities,02.Medium,02.Medium,15.0,13.0,Yes,Email Opened
1724,Landing Page Submission,Direct Traffic,No,0,2.0,227,2.0,Email Opened,India,Business Administration,Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,14.0,18.0,Yes,Email Opened
1725,Landing Page Submission,Direct Traffic,No,0,2.0,76,2.0,Email Opened,India,Marketing Management,Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,13.0,18.0,Yes,Email Opened
1726,Landing Page Submission,Organic Search,No,0,8.0,241,8.0,SMS Sent,India,Finance Management,Select,Unemployed,Better Career Prospects,Interested  in full time MBA,Worst,Other Leads,Mumbai,02.Medium,01.High,13.0,18.0,Yes,Modified
1727,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
1728,Landing Page Submission,Organic Search,No,1,4.0,562,4.0,SMS Sent,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Other Metro Cities,02.Medium,02.Medium,14.0,14.0,Yes,SMS Sent
1729,Landing Page Submission,Direct Traffic,No,1,7.0,1126,7.0,Email Opened,India,Media and Advertising,Select,Working Professional,Better Career Prospects,Other,Other,Select,Mumbai,02.Medium,01.High,15.0,17.0,Yes,Email Opened
1730,Landing Page Submission,Google,No,1,1.0,1716,1.0,Converted to Lead,India,"Banking, Investment And Insurance",Student of SomeSchool,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,No,Modified
1731,Landing Page Submission,Organic Search,No,1,3.0,534,1.5,Email Opened,India,Human Resource Management,Online Search,Unemployed,Better Career Prospects,Closed by Horizzon,High in Relevance,Potential Lead,Thane & Outskirts,02.Medium,01.High,13.0,17.0,No,Email Opened
1732,API,Organic Search,No,0,2.0,30,2.0,Email Opened,India,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,13.0,15.0,No,Email Opened
1733,Landing Page Submission,Direct Traffic,No,0,9.0,1442,4.5,SMS Sent,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Ringing,Might be,Select,Mumbai,02.Medium,01.High,14.0,18.0,Yes,Modified
1734,Landing Page Submission,Direct Traffic,No,0,1.0,1156,1.0,Converted to Lead,India,Business Administration,Other,Other,Other,Other,Other,Other,Other Metro Cities,02.Medium,02.Medium,14.0,16.0,Yes,Modified
1735,Landing Page Submission,Google,No,0,4.0,434,4.0,Email Opened,India,Travel and Tourism,Word Of Mouth,Other,Other,Other,Other,Other,Mumbai,02.Medium,02.Medium,14.0,16.0,No,Email Opened
1736,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Select,03.Low,02.Medium,11.0,15.0,No,Modified
1737,API,Olark Chat,No,1,3.0,166,1.5,Email Opened,Other,Operations Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Other Leads,Select,02.Medium,02.Medium,14.0,14.0,No,Email Opened
1738,Landing Page Submission,Direct Traffic,No,0,5.0,80,2.5,Page Visited on Website,India,"Banking, Investment And Insurance",Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,14.0,18.0,No,Page Visited on Website
1739,Landing Page Submission,Direct Traffic,No,1,2.0,1948,2.0,SMS Sent,India,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Other Cities,02.Medium,02.Medium,14.0,16.0,Yes,SMS Sent
1740,Landing Page Submission,Organic Search,No,0,3.0,986,3.0,Unreachable,India,"Banking, Investment And Insurance",Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,13.0,18.0,Yes,Modified
1741,Landing Page Submission,Direct Traffic,Yes,0,22.0,601,1.38,Page Visited on Website,India,Retail Management,Select,Unemployed,Better Career Prospects,Not doing further education,Other,Select,Other Cities,02.Medium,02.Medium,15.0,16.0,Yes,Page Visited on Website
1742,Landing Page Submission,Organic Search,No,0,5.0,448,5.0,Email Opened,India,"Banking, Investment And Insurance",Other,Other,Other,Other,Other,Other,Other Cities,02.Medium,02.Medium,15.0,16.0,Yes,Email Opened
1743,Landing Page Submission,Direct Traffic,No,0,2.0,199,2.0,Email Opened,India,Marketing Management,Other,Other,Other,Other,Other,Other,Other Metro Cities,02.Medium,02.Medium,13.0,16.0,Yes,Email Opened
1744,API,Google,No,1,5.0,786,5.0,Olark Chat Conversation,India,Services Excellence,Student of SomeSchool,Unemployed,Better Career Prospects,Other,Other,Select,Mumbai,02.Medium,02.Medium,15.0,13.0,No,Olark Chat Conversation
1745,API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Other,Rural and Agribusiness,Select,Student,Better Career Prospects,Will revert after reading the email,Low in Relevance,Other Leads,Thane & Outskirts,02.Medium,03.Low,15.0,12.0,No,Email Opened
1746,Lead Add Form,Other,No,1,0.0,0,0.0,SMS Sent,Other,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,02.Medium,02.Medium,15.0,16.0,No,Modified
1747,API,Google,No,1,2.0,1528,2.0,SMS Sent,India,Marketing Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,SMS Sent
1748,Landing Page Submission,Direct Traffic,No,1,2.0,1232,2.0,SMS Sent,India,Supply Chain Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,02.Medium,01.High,15.0,18.0,Yes,SMS Sent
1749,Landing Page Submission,Google,No,0,2.0,1188,1.0,Email Bounced,India,Finance Management,Student of SomeSchool,Student,Better Career Prospects,Already a student,Worst,Student of SomeSchool,Mumbai,02.Medium,01.High,15.0,18.0,No,Modified
1750,Landing Page Submission,Google,No,0,6.0,1049,6.0,SMS Sent,India,Human Resource Management,Student of SomeSchool,Unemployed,Better Career Prospects,Ringing,Might be,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,Modified
1751,API,Olark Chat,No,0,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Email Opened
1752,API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Email Opened
1753,Lead Add Form,Reference,No,1,0.0,0,0.0,SMS Sent,Other,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Select,02.Medium,01.High,14.0,17.0,No,SMS Sent
1754,API,Google,No,1,4.0,1219,1.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Closed by Horizzon,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Modified
1755,Landing Page Submission,Google,No,0,4.0,198,4.0,Email Opened,India,Supply Chain Management,Word Of Mouth,Other,Other,Other,Other,Other,Thane & Outskirts,02.Medium,01.High,14.0,17.0,No,Email Opened
1756,Landing Page Submission,Google,No,0,3.0,1334,3.0,Email Opened,India,Human Resource Management,Online Search,Other,Other,Other,Other,Other,Thane & Outskirts,02.Medium,01.High,14.0,17.0,No,Email Opened
1757,Landing Page Submission,Direct Traffic,No,0,4.0,375,4.0,Email Opened,India,Marketing Management,Other,Other,Other,Other,Other,Other,Other Metro Cities,02.Medium,02.Medium,14.0,16.0,Yes,Email Opened
1758,Lead Add Form,Welingak Website,No,1,0.0,0,0.0,Email Opened,Other,Human Resource Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Lateral Student,Other Cities of Maharashtra,02.Medium,01.High,14.0,17.0,No,Email Opened
1759,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Select,Select,Unemployed,Better Career Prospects,Already a student,Other,Select,Select,01.High,02.Medium,17.0,15.0,No,Modified
1760,Landing Page Submission,Google,No,0,12.0,1261,4.0,SMS Sent,India,IT Projects Management,Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,02.Medium,14.0,15.0,Yes,Modified
1761,API,Google,No,1,2.0,594,1.0,SMS Sent,India,IT Projects Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Select,02.Medium,02.Medium,15.0,13.0,No,SMS Sent
1762,Landing Page Submission,Google,No,0,3.0,295,3.0,Email Opened,India,Business Administration,Word Of Mouth,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,13.0,18.0,No,Email Opened
